gg_position,pred_rank,name,team,score,top_k_rule,stat_H,stat_HR,stat_RBI,stat_R,stat_WAR,stat_ERA,stat_WHIP
P,1,앤더슨,SSG,0.02385609178195569,3,121,13,,53,6.54,2.25,1.0
P,2,폰세,한화,0.017243421902978878,3,128,10,,41,8.38,1.89,0.94
P,3,라일리,NC,0.004387422579938772,3,136,18,,76,4.34,3.45,1.12
C,1,장성우,KT,0.0009655274502873424,3,102,14,58.0,44,2.27,,
C,2,유강남,롯데,0.0008456424431744401,3,83,5,38.0,35,2.09,,
C,3,김형준,NC,0.0007791825563441267,3,84,18,55.0,51,3.27,,
1B,1,디아즈,삼성,0.003277975872814369,3,173,50,158.0,93,5.8,,
1B,2,고명준,SSG,0.0006813773093823899,3,131,17,64.0,46,0.79,,
1B,3,강승호,두산,0.0005981088008607259,3,85,8,37.0,51,1.55,,
2B,1,류지혁,삼성,0.002191899187419208,3,112,1,37.0,54,1.51,,
2B,2,신민재,LG,0.0013083709266947456,3,145,1,61.0,87,3.49,,
2B,3,김상수,KT,0.0012487774870008287,3,90,5,47.0,42,1.17,,
3B,1,허경민,KT,0.0015881765211621052,3,119,4,44.0,47,1.68,,
3B,2,송성문,키움,0.0008972393757697576,3,181,26,90.0,103,8.58,,
3B,3,노시환,한화,0.0007837079576100776,3,140,32,101.0,97,4.88,,
SS,1,김주원,NC,0.0017595393383158687,3,156,15,65.0,98,6.33,,
SS,2,이유찬,두산,0.0005458292617618103,3,65,1,16.0,36,0.84,,
SS,3,오지환,LG,0.000508487158120934,3,106,16,62.0,57,2.89,,
Outfielders,1,윤동희,롯데,0.005648231239069074,9,93,9,53.0,54,3.14,,
Outfielders,2,문현빈,한화,0.0027725465681008084,9,169,12,80.0,71,2.42,,
Outfielders,3,박건우,NC,0.002506362657208728,9,111,9,67.0,43,1.85,,
Outfielders,4,임지열,키움,0.0021840340260652754,9,90,11,50.0,51,1.04,,
Outfielders,5,김성윤,삼성,0.0018864476116022806,9,151,6,61.0,92,5.5,,
Outfielders,6,문성주,LG,0.0013643914980790077,9,145,3,70.0,57,2.61,,
Outfielders,7,나성범,KIA,0.0011687624611554095,9,70,10,36.0,30,1.91,,
Outfielders,8,레이예스,롯데,0.001164246308947185,9,187,13,107.0,75,3.21,,
Outfielders,9,김지찬,삼성,0.0010824881463603407,9,89,0,23.0,59,0.94,,
DH,1,강백호,KT,0.0009756008481482952,3,85,15,61.0,41,1.68,,
DH,2,전준우,롯데,0.0007205387372867356,3,120,8,70.0,50,1.39,,
DH,3,김재환,두산,0.0004798103500438947,3,83,13,50.0,42,1.91,,
