Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10008,김선빈,1989년 12월 18일,우투우타,화순초-화순중-화순고,08 KIA 2차 6라운드 43순위,2025,KIA,36,2B,84,2.74,-0.63,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,0.162,136.6,2.11
10014,안치홍,1990년 07월 02일,우투우타,구리-대치중-서울고,09 KIA 2차 1라운드 1순위,2025,한화,35,DH,66,-1.37,0.03,196,191,174,9,30,4,0,2,40,18,3,0,16,1,2,39,4,4,1,0.172,0.245,0.23,0.475,0.028,22.5,-1.34
10035,이용규,1985년 08월 26일,좌투좌타,성동초-잠신중-덕수정보고,04 LG 2차 2라운드 15순위,2025,키움,40,CF,14,-0.11,-0.11,41,40,37,7,8,1,0,0,9,0,1,0,3,0,0,8,1,1,0,0.216,0.275,0.243,0.518,0.048,43.8,-0.22
10082,이재원,1988년 02월 24일,우투우타,숭의초-상인천중-인천고,06 SK 1차,2025,한화,37,C,98,-0.05,0.27,151,143,125,4,25,2,1,1,32,12,1,1,14,1,0,23,3,8,3,0.2,0.28,0.256,0.536,0.058,48.5,0.23
10106,최정,1987년 02월 28일,우투우타,대일초-평촌중-유신고,05 SK 1차,2025,SSG,38,DH,95,1.91,-0.5,406,402,340,54,83,12,0,23,164,63,1,0,51,12,6,94,10,0,3,0.244,0.36,0.482,0.842,0.157,126.5,1.41
10165,양의지,1987년 06월 05일,우투우타,송정동초-무등중-진흥고,06 두산 2차 8라운드 59순위,2025,두산,38,C,130,6.6,0.2,517,514,454,56,153,27,1,20,242,89,4,2,50,7,6,63,10,0,6,0.337,0.406,0.533,0.939,0.189,162.8,6.79
10170,최재훈,1989년 08월 27일,우투우타,화곡초-덕수중-덕수고-방송통신대,08 두산 육성선수,2025,한화,36,C,121,3.45,-0.22,348,338,269,28,77,15,0,1,95,35,1,1,46,17,0,48,4,10,6,0.286,0.414,0.353,0.767,0.156,129.7,3.23
10180,이원석,1986년 10월 21일,우투우타,광주학강초-광주동성중-광주동성고,05 롯데 2차 2라운드 9순위,2025,키움,39,DH,5,-0.09,0,8,8,7,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0.143,0.25,0.143,0.393,0.018,16.4,-0.09
10182,최주환,1988년 02월 28일,우투좌타,광주학강초-광주동성중-광주동성고,06 두산 2차 6라운드 46순위,2025,키움,37,1B,120,1.03,-0.47,506,504,459,45,126,31,1,12,195,74,0,0,36,5,2,66,8,0,6,0.275,0.33,0.425,0.755,0.124,111.4,0.56
10184,허경민,1990년 08월 26일,우투우타,송정동초-충장중-광주제일고,09 두산 2차 1라운드 7순위,2025,KT,35,3B,114,1.69,-0.01,481,478,420,47,119,18,0,4,149,44,4,1,39,15,1,35,14,3,4,0.283,0.362,0.355,0.717,0.123,99.4,1.68
10187,김현수,1988년 01월 12일,우투좌타,쌍문초-신일중-신일고,06 두산 육성선수,2025,LG,37,LF,140,3.61,-0.24,552,552,483,66,144,24,0,12,204,90,4,0,64,4,1,73,10,0,1,0.298,0.384,0.422,0.806,0.156,133.1,3.36
10189,박건우,1990년 09월 08일,우투우타,역삼초-서울이수중-서울고,09 두산 2차 2라운드 10순위,2025,NC,35,RF,124,2.19,-0.33,442,440,384,43,111,24,1,9,164,67,6,4,47,5,2,63,6,1,5,0.289,0.37,0.427,0.797,0.147,119.4,1.85
10195,정수빈,1990년 10월 07일,좌투좌타,신곡초-수원북중-유신고,09 두산 2차 5라운드 39순위,2025,두산,35,CF,132,2.32,0.51,546,537,462,89,119,16,4,6,161,38,26,13,61,11,2,57,7,8,4,0.258,0.355,0.348,0.703,0.122,104.8,2.83
