Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
10058,양현종,1988년 03월 01일,좌투좌타,광주학강초-광주동성중-광주동성고,07 KIA 2차 1라운드 1순위,2025,KIA,37,P,30,30,0,0,0,0,7,9,0,0,153,86,101,96.2,677,171,23,4,12,57,4,1,109,14,0,10,5.06,5.94,5.66,4.35,1.49,0.86
10124,고효준,1983년 02월 08일,좌투좌타,서원초-세광중-세광고,02 롯데 2차 1라운드 6순위,2025,두산,42,P,45,0,45,2,0,0,2,1,0,9,21,16,16,22.5,104,29,2,1,4,14,1,1,19,0,0,4,6.86,6.86,9.64,6.06,2.05,-1.17
10126,김광현,1988년 07월 22일,좌투좌타,안산-덕성초-안산중앙중-안산공고,07 SK 1차 1순위,2025,SSG,37,P,28,28,0,0,0,0,10,10,0,0,144,80,86,83.4,636,164,28,1,13,50,4,1,138,8,0,6,5,5.38,5.21,3.77,1.49,1.62
10131,박종훈,1991년 08월 13일,우언우타,중앙초-군산중-군산상고,10 SK 2라운드 9순위,2025,SSG,34,P,5,5,0,0,0,0,0,2,0,0,19,15,17,14.3,90,15,1,0,4,18,5,0,10,2,0,0,7.11,8.05,6.77,8.98,1.74,-0.06
10137,송은범,1984년 03월 17일,우투우타,서흥초-동산중-동산고,03 SK 1차,2025,삼성,41,P,5,0,5,3,0,0,0,0,0,0,6,3,3,3,28,9,2,0,0,3,0,0,2,0,0,3,4.5,4.5,4.5,4.69,2,0.09
10203,노경은,1984년 03월 11일,우투우타,화곡초-성남중-성남고,03 두산 1차,2025,SSG,41,P,77,0,77,6,0,0,3,6,3,35,80,19,22,25.05,320,60,10,0,2,25,3,5,68,3,0,3,2.14,2.48,2.82,3.05,1.06,3.13
10217,이용찬,1989년 01월 02일,우투우타,신원초-양천중-장충고,07 두산 1차 1순위,2025,NC,36,P,12,3,9,1,0,0,1,2,0,1,15.1,18,18,17.8,83,23,4,0,1,12,4,1,14,0,0,2,10.57,10.57,10.45,5.75,2.28,-0.44
10363,백정현,1987년 07월 13일,좌투좌타,옥산초-대구중-상원고,07 삼성 2차 1라운드 8순위,2025,삼성,38,P,29,1,28,8,0,0,2,0,1,3,32.1,7,7,9.05,128,19,6,0,1,7,2,0,31,3,0,0,1.95,1.95,2.52,2.78,0.8,1.3
10367,오승환,1982년 07월 15일,우투우타,도신초-우신중-경기고-단국대,05 삼성 2차 1라운드 5순위,2025,삼성,43,P,12,0,12,4,0,0,0,0,0,0,9,8,8,7.35,45,15,5,0,1,3,0,0,7,0,0,1,8,8,7.35,4.36,2,-0.13
10427,김상수,1988년 01월 02일,우투우타,자이언츠-자양중-신일고,06 삼성 2차 2라운드 15순위,2025,롯데,37,P,45,0,45,14,0,0,0,1,2,3,36.2,26,26,31.35,180,48,10,0,4,18,3,2,27,3,0,1,6.38,6.38,7.7,5.03,1.8,-0.52
10452,임창민,1985년 08월 25일,우투우타,대성초-광주동성중-광주동성고-연세대,08 현대 2차 2라운드 11순위,2025,삼성,40,P,16,0,16,1,0,0,1,0,0,2,13,7,8,9.75,63,17,2,0,5,7,1,1,6,0,0,0,4.85,5.54,6.75,9.06,1.85,-0.07
10523,우규민,1985년 01월 21일,우언우타,성동초-휘문중-휘문고,03 LG 2차 3라운드 19순위,2025,KT,40,P,53,0,53,10,0,0,1,2,0,9,44.1,12,12,16.15,185,45,6,0,2,3,4,1,24,2,0,0,2.44,2.44,3.28,3.54,1.08,1.12
10527,이승현,1991년 11월 20일,우투우타,화순초-진흥중-화순고,10 LG 2라운드 16순위,2025,삼성,34,P,42,0,42,7,0,0,2,1,0,11,35.2,25,26,30.75,161,43,7,0,9,11,1,1,29,0,0,1,6.31,6.56,7.76,5.88,1.51,-0.46
10535,최동환,1989년 09월 19일,우투우타,인헌초-선린중-경동고,09 LG 2차 2라운드 13순위,2025,KT,36,P,20,0,20,9,0,0,1,1,0,0,18.2,18,19,19,91,27,5,1,4,12,1,2,9,0,0,0,8.68,9.16,9.16,7.32,2.09,-0.32
